,ds,y,ds,y
0,1996-04,177100.0,1996-04,177100.0
1,1996-05,180000.0,1996-05,180000.0
2,1996-06,182700.0,1996-06,182700.0
3,1996-07,185100.0,1996-07,185100.0
4,1996-08,187100.0,1996-08,187100.0
5,1996-09,188700.0,1996-09,188700.0
6,1996-10,189900.0,1996-10,189900.0
7,1996-11,190500.0,1996-11,190500.0
8,1996-12,190900.0,1996-12,190900.0
9,1997-01,191000.0,1997-01,191000.0
10,1997-02,190500.0,1997-02,190500.0
11,1997-03,189300.0,1997-03,189300.0
12,1997-04,188200.0,1997-04,188200.0
13,1997-05,187100.0,1997-05,187100.0
14,1997-06,186300.0,1997-06,186300.0
15,1997-07,185800.0,1997-07,185800.0
16,1997-08,185600.0,1997-08,185600.0
17,1997-09,185800.0,1997-09,185800.0
18,1997-10,186300.0,1997-10,186300.0
19,1997-11,186900.0,1997-11,186900.0
20,1997-12,187800.0,1997-12,187800.0
21,1998-01,188900.0,1998-01,188900.0
22,1998-02,189300.0,1998-02,189300.0
23,1998-03,189200.0,1998-03,189200.0
24,1998-04,188800.0,1998-04,188800.0
25,1998-05,188000.0,1998-05,188000.0
26,1998-06,186900.0,1998-06,186900.0
27,1998-07,185500.0,1998-07,185500.0
28,1998-08,183900.0,1998-08,183900.0
29,1998-09,182100.0,1998-09,182100.0
30,1998-10,180400.0,1998-10,180400.0
31,1998-11,178800.0,1998-11,178800.0
32,1998-12,177800.0,1998-12,177800.0
33,1999-01,177300.0,1999-01,177300.0
34,1999-02,177100.0,1999-02,177100.0
35,1999-03,177400.0,1999-03,177400.0
36,1999-04,178300.0,1999-04,178300.0
37,1999-05,179900.0,1999-05,179900.0
38,1999-06,182100.0,1999-06,182100.0
39,1999-07,184900.0,1999-07,184900.0
40,1999-08,187800.0,1999-08,187800.0
41,1999-09,190900.0,1999-09,190900.0
42,1999-10,194000.0,1999-10,194000.0
43,1999-11,197000.0,1999-11,197000.0
44,1999-12,199800.0,1999-12,199800.0
45,2000-01,202100.0,2000-01,202100.0
46,2000-02,203700.0,2000-02,203700.0
47,2000-03,204400.0,2000-03,204400.0
48,2000-04,204500.0,2000-04,204500.0
49,2000-05,204100.0,2000-05,204100.0
50,2000-06,203200.0,2000-06,203200.0
51,2000-07,201900.0,2000-07,201900.0
52,2000-08,200400.0,2000-08,200400.0
53,2000-09,198900.0,2000-09,198900.0
54,2000-10,197500.0,2000-10,197500.0
55,2000-11,196200.0,2000-11,196200.0
56,2000-12,195200.0,2000-12,195200.0
57,2001-01,194400.0,2001-01,194400.0
58,2001-02,193500.0,2001-02,193500.0
59,2001-03,192700.0,2001-03,192700.0
60,2001-04,191900.0,2001-04,191900.0
61,2001-05,191300.0,2001-05,191300.0
62,2001-06,191000.0,2001-06,191000.0
63,2001-07,190800.0,2001-07,190800.0
64,2001-08,190800.0,2001-08,190800.0
65,2001-09,191000.0,2001-09,191000.0
66,2001-10,191300.0,2001-10,191300.0
67,2001-11,191700.0,2001-11,191700.0
68,2001-12,192300.0,2001-12,192300.0
69,2002-01,192800.0,2002-01,192800.0
70,2002-02,193300.0,2002-02,193300.0
71,2002-03,193700.0,2002-03,193700.0
72,2002-04,194300.0,2002-04,194300.0
73,2002-05,195000.0,2002-05,195000.0
74,2002-06,195600.0,2002-06,195600.0
75,2002-07,196200.0,2002-07,196200.0
76,2002-08,196800.0,2002-08,196800.0
77,2002-09,197100.0,2002-09,197100.0
78,2002-10,197400.0,2002-10,197400.0
79,2002-11,197500.0,2002-11,197500.0
80,2002-12,197500.0,2002-12,197500.0
81,2003-01,197600.0,2003-01,197600.0
82,2003-02,197800.0,2003-02,197800.0
83,2003-03,197800.0,2003-03,197800.0
84,2003-04,197700.0,2003-04,197700.0
85,2003-05,197500.0,2003-05,197500.0
86,2003-06,197300.0,2003-06,197300.0
87,2003-07,197100.0,2003-07,197100.0
88,2003-08,196900.0,2003-08,196900.0
89,2003-09,196700.0,2003-09,196700.0
90,2003-10,196600.0,2003-10,196600.0
91,2003-11,196600.0,2003-11,196600.0
92,2003-12,196900.0,2003-12,196900.0
93,2004-01,197600.0,2004-01,197600.0
94,2004-02,198900.0,2004-02,198900.0
95,2004-03,200600.0,2004-03,200600.0
96,2004-04,202400.0,2004-04,202400.0
97,2004-05,203800.0,2004-05,203800.0
98,2004-06,204900.0,2004-06,204900.0
99,2004-07,205700.0,2004-07,205700.0
100,2004-08,206400.0,2004-08,206400.0
101,2004-09,206900.0,2004-09,206900.0
102,2004-10,207500.0,2004-10,207500.0
103,2004-11,208100.0,2004-11,208100.0
104,2004-12,208600.0,2004-12,208600.0
105,2005-01,209000.0,2005-01,209000.0
106,2005-02,209000.0,2005-02,209000.0
107,2005-03,208900.0,2005-03,208900.0
108,2005-04,208600.0,2005-04,208600.0
109,2005-05,208400.0,2005-05,208400.0
110,2005-06,208400.0,2005-06,208400.0
111,2005-07,208600.0,2005-07,208600.0
112,2005-08,208900.0,2005-08,208900.0
113,2005-09,209300.0,2005-09,209300.0
114,2005-10,209400.0,2005-10,209400.0
115,2005-11,209500.0,2005-11,209500.0
116,2005-12,209600.0,2005-12,209600.0
117,2006-01,209800.0,2006-01,209800.0
118,2006-02,210200.0,2006-02,210200.0
119,2006-03,210700.0,2006-03,210700.0
120,2006-04,211400.0,2006-04,211400.0
121,2006-05,212300.0,2006-05,212300.0
122,2006-06,213200.0,2006-06,213200.0
